Date,Open,High,Low,Close,Volume
2018-03-13,1360.015168058966,1366.8968705330008,1335.4178580728403,1342.299560546875,88067154
2009-05-06,125.7721177729031,128.02843157439767,121.1905247635494,125.20064544677734,52522096
2005-04-20,112.1273257282716,112.1273257282716,102.15734224473869,104.2970962524414,47498256
2007-10-31,201.25228595182384,204.4623178034224,195.48574480707245,199.52232360839844,47216528
2004-08-26,92.20082299580248,92.66554488590228,90.6486507482942,90.99254608154295,40443200
2009-07-20,176.51578780957615,204.242659444086,176.51578780957615,198.55050659179688,34539536
2004-08-27,91.30855793800583,91.30855793800583,89.09276150144275,89.47383117675781,30646000
2005-01-13,122.0783957951126,124.7529331985176,118.81675926623556,120.48485565185548,27757952
2005-04-19,124.27446361320868,126.04047143000128,110.0810094350952,112.94025421142578,27235152
2004-08-30,90.14675011798772,92.01492975600534,89.69132041873249,91.71379089355467,24465208
