Date,Close,Volume
2018-03-13,1342.3,88067154
2009-05-06,125.2,52522096
2005-04-20,104.3,47498256
2007-10-31,199.52,47216528
2004-08-26,90.99,40443200
2009-07-20,198.55,34539536
2004-08-27,89.47,30646000
2005-01-13,120.48,27757952
2005-04-19,112.94,27235152
2004-08-30,91.71,24465208
